捐贈者,受贈對象,對同一對象年度上限_元,對不同對象年度合計上限_元,法條依據
個人,政黨、政治團體,300000,600000,第17條第1項第1款、第3項第1款
營利事業,政黨、政治團體,3000000,6000000,第17條第1項第2款、第3項第2款
人民團體,政黨、政治團體,2000000,4000000,第17條第1項第3款、第3項第3款
個人,擬參選人,100000,300000,第18條第1項第1款、第3項第1款
營利事業,擬參選人,1000000,2000000,第18條第1項第2款、第3項第2款
人民團體,擬參選人,500000,1000000,第18條第1項第3款、第3項第3款
政黨,其所推薦總統、副總統候選人,25000000,,第18條第2項第1款
政黨,其所推薦立法委員候選人,2000000,,第18條第2項第2款
政黨,其所推薦直轄市長、縣（市）長候選人,3000000,,第18條第2項第3款
政黨,其所推薦直轄市議員、縣（市）議員候選人,500000,,第18條第2項第4款
政黨,其所推薦鄉（鎮、市）長、直轄市山地原住民區長候選人,300000,,第18條第2項第5款
政黨,其所推薦鄉（鎮、市）民代表、直轄市山地原住民區民代表、村（里）長候選人,100000,,第18條第2項第6款
