款次,對象,查證機關,違規處理,頁面
1,公營事業，或政府持有資本達 20% 之民營企業,經濟部；各該事業主管機關,返還捐贈人,/donors/state-owned/
2,與政府機關（構）有巨額採購或重大公共建設投資契約，且在履約期間之廠商,行政院公共工程委員會；財政部,返還捐贈人,/donors/gov-contractor/
3,有累積虧損尚未依規定彌補之營利事業,經濟部,返還捐贈人,/donors/deficit/
4,宗教團體,內政部,返還捐贈人,/donors/religious/
5,其他政黨或同一種選舉擬參選人（依法共同推薦者除外）,內政部；中央選舉委員會；監察院,返還捐贈人,/donors/other-party/
6,未具有選舉權之人,內政部,返還捐贈人,/donors/no-suffrage/
7,外國人民、法人、團體或其他機構，或主要成員為外國者,經濟部；內政部,不得返還，應繳庫,/donors/foreign/
8,大陸地區人民、法人、團體或其他機構，或主要成員為大陸地區者,經濟部；內政部,不得返還，應繳庫,/donors/mainland/
9,香港、澳門居民、法人、團體或其他機構，或主要成員為港澳者,經濟部；內政部,不得返還，應繳庫,/donors/hk-macau/
10,政黨經營或投資之事業,經濟部,返還捐贈人,/donors/party-business/
11,與政黨經營或投資之事業有巨額採購契約，且在履約期間之廠商,內政部,返還捐贈人,/donors/party-contractor/
